dia,ano_referencia,mes_referencia,num_revisao,nom_semanaoperativa,cod_modelos,id_subsistema,nom_subsistema,nom_usina,val_cvu
2024-01-03,2024,1,0,PMO Janeiro 2024,166,NE,NORDESTE,AREMBEPE,141.423
2024-01-04,2024,1,0,PMO Janeiro 2024,166,NE,NORDESTE,AREMBEPE,141.423
2024-01-05,2024,1,0,PMO Janeiro 2024,166,NE,NORDESTE,AREMBEPE,141.423
2023-12-30,2024,1,0,PMO Janeiro 2024,57,NE,NORDESTE,MARACANAU,141.494
2023-12-31,2024,1,0,PMO Janeiro 2024,57,NE,NORDESTE,MARACANAU,141.494
2024-01-01,2024,1,0,PMO Janeiro 2024,57,NE,NORDESTE,MARACANAU,141.494
2024-01-02,2024,1,0,PMO Janeiro 2024,57,NE,NORDESTE,MARACANAU,141.494
2024-01-03,2024,1,0,PMO Janeiro 2024,57,NE,NORDESTE,MARACANAU,141.494
2024-01-04,2024,1,0,PMO Janeiro 2024,57,NE,NORDESTE,MARACANAU,141.494
2024-01-05,2024,1,0,PMO Janeiro 2024,57,NE,NORDESTE,MARACANAU,141.494
2023-12-30,2024,1,0,PMO Janeiro 2024,152,NE,NORDESTE,TERMOCABO,144.0
2023-12-31,2024,1,0,PMO Janeiro 2024,152,NE,NORDESTE,TERMOCABO,144.0
2024-01-01,2024,1,0,PMO Janeiro 2024,152,NE,NORDESTE,TERMOCABO,144.0
2024-01-02,2024,1,0,PMO Janeiro 2024,152,NE,NORDESTE,TERMOCABO,144.0
2024-01-03,2024,1,0,PMO Janeiro 2024,152,NE,NORDESTE,TERMOCABO,144.0
2024-01-04,2024,1,0,PMO Janeiro 2024,152,NE,NORDESTE,TERMOCABO,144.0
2024-01-05,2024,1,0,PMO Janeiro 2024,152,NE,NORDESTE,TERMOCABO,144.0
2023-12-30,2024,1,0,PMO Janeiro 2024,67,NE,NORDESTE,TERMONE,144.741
2023-12-31,2024,1,0,PMO Janeiro 2024,67,NE,NORDESTE,TERMONE,144.741
2024-01-01,2024,1,0,PMO Janeiro 2024,67,NE,NORDESTE,TERMONE,144.741
2024-01-02,2024,1,0,PMO Janeiro 2024,67,NE,NORDESTE,TERMONE,144.741
2024-01-03,2024,1,0,PMO Janeiro 2024,67,NE,NORDESTE,TERMONE,144.741
2024-01-04,2024,1,0,PMO Janeiro 2024,67,NE,NORDESTE,TERMONE,144.741
2024-01-05,2024,1,0,PMO Janeiro 2024,67,NE,NORDESTE,TERMONE,144.741
2023-12-30,2024,1,0,PMO Janeiro 2024,69,NE,NORDESTE,TERMOPB,144.741
2023-12-31,2024,1,0,PMO Janeiro 2024,69,NE,NORDESTE,TERMOPB,144.741
2024-01-01,2024,1,0,PMO Janeiro 2024,69,NE,NORDESTE,TERMOPB,144.741
2024-01-02,2024,1,0,PMO Janeiro 2024,69,NE,NORDESTE,TERMOPB,144.741
2024-01-03,2024,1,0,PMO Janeiro 2024,69,NE,NORDESTE,TERMOPB,144.741
2024-01-04,2024,1,0,PMO Janeiro 2024,69,NE,NORDESTE,TERMOPB,144.741
2024-01-05,2024,1,0,PMO Janeiro 2024,69,NE,NORDESTE,TERMOPB,144.741
2023-12-30,2024,1,0,PMO Janeiro 2024,52,NE,NORDESTE,CAMPINA_GR,145.777
2023-12-31,2024,1,0,PMO Janeiro 2024,52,NE,NORDESTE,CAMPINA_GR,145.777
2024-01-01,2024,1,0,PMO Janeiro 2024,52,NE,NORDESTE,CAMPINA_GR,145.777
2024-01-02,2024,1,0,PMO Janeiro 2024,52,NE,NORDESTE,CAMPINA_GR,145.777
2024-01-03,2024,1,0,PMO Janeiro 2024,52,NE,NORDESTE,CAMPINA_GR,145.777
2024-01-04,2024,1,0,PMO Janeiro 2024,52,NE,NORDESTE,CAMPINA_GR,145.777
2024-01-05,2024,1,0,PMO Janeiro 2024,52,NE,NORDESTE,CAMPINA_GR,145.777
2023-12-30,2024,1,0,PMO Janeiro 2024,170,NE,NORDESTE,SUAPE II,148.327
2023-12-31,2024,1,0,PMO Janeiro 2024,170,NE,NORDESTE,SUAPE II,148.327
2024-01-01,2024,1,0,PMO Janeiro 2024,170,NE,NORDESTE,SUAPE II,148.327
2024-01-02,2024,1,0,PMO Janeiro 2024,170,NE,NORDESTE,SUAPE II,148.327
2024-01-03,2024,1,0,PMO Janeiro 2024,170,NE,NORDESTE,SUAPE II,148.327
2024-01-04,2024,1,0,PMO Janeiro 2024,170,NE,NORDESTE,SUAPE II,148.327
2024-01-05,2024,1,0,PMO Janeiro 2024,170,NE,NORDESTE,SUAPE II,148.327
2023-12-30,2024,1,0,PMO Janeiro 2024,53,NE,NORDESTE,GLOBAL I,165.241
2023-12-31,2024,1,0,PMO Janeiro 2024,53,NE,NORDESTE,GLOBAL I,165.241
2024-01-01,2024,1,0,PMO Janeiro 2024,53,NE,NORDESTE,GLOBAL I,165.241
2024-01-02,2024,1,0,PMO Janeiro 2024,53,NE,NORDESTE,GLOBAL I,165.241
2024-01-03,2024,1,0,PMO Janeiro 2024,53,NE,NORDESTE,GLOBAL I,165.241
2024-01-04,2024,1,0,PMO Janeiro 2024,53,NE,NORDESTE,GLOBAL I,165.241
2024-01-05,2024,1,0,PMO Janeiro 2024,53,NE,NORDESTE,GLOBAL I,165.241
2023-12-30,2024,1,0,PMO Janeiro 2024,55,NE,NORDESTE,GLOBAL II,165.241
2023-12-31,2024,1,0,PMO Janeiro 2024,55,NE,NORDESTE,GLOBAL II,165.241
2024-01-01,2024,1,0,PMO Janeiro 2024,55,NE,NORDESTE,GLOBAL II,165.241
2024-01-02,2024,1,0,PMO Janeiro 2024,55,NE,NORDESTE,GLOBAL II,165.241
2024-01-03,2024,1,0,PMO Janeiro 2024,55,NE,NORDESTE,GLOBAL II,165.241
2024-01-04,2024,1,0,PMO Janeiro 2024,55,NE,NORDESTE,GLOBAL II,165.241
