dia;dat_iniciosemana;dat_fimsemana;ano_referencia;mes_referencia;num_revisao;nom_semanaoperativa;cod_modelos;id_subsistema;nom_subsistema;nom_usina;val_cvu
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;223;NE;NORDESTE;PROSP_III;29.773
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;223;NE;NORDESTE;PROSP_III;29.773
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;223;NE;NORDESTE;PROSP_III;29.773
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;223;NE;NORDESTE;PROSP_III;29.773
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;223;NE;NORDESTE;PROSP_III;29.773
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;223;NE;NORDESTE;PROSP_III;29.773
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;223;NE;NORDESTE;PROSP_III;29.773
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;96;NE;NORDESTE;TERMOPE;33.36
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;96;NE;NORDESTE;TERMOPE;33.36
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;96;NE;NORDESTE;TERMOPE;33.36
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;96;NE;NORDESTE;TERMOPE;33.36
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;96;NE;NORDESTE;TERMOPE;33.36
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;96;NE;NORDESTE;TERMOPE;33.36
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;96;NE;NORDESTE;TERMOPE;33.36
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;224;NE;NORDESTE;PSERGIPE I;49.247
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;224;NE;NORDESTE;PSERGIPE I;49.247
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;224;NE;NORDESTE;PSERGIPE I;49.247
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;224;NE;NORDESTE;PSERGIPE I;49.247
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;224;NE;NORDESTE;PSERGIPE I;49.247
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;224;NE;NORDESTE;PSERGIPE I;49.247
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;224;NE;NORDESTE;PSERGIPE I;49.247
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;167;NE;NORDESTE;P.PECEM1;49.437
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;167;NE;NORDESTE;P.PECEM1;49.437
01/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;167;NE;NORDESTE;P.PECEM1;49.437
02/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;167;NE;NORDESTE;P.PECEM1;49.437
03/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;167;NE;NORDESTE;P.PECEM1;49.437
04/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;167;NE;NORDESTE;P.PECEM1;49.437
05/01/2024;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;167;NE;NORDESTE;P.PECEM1;49.437
30/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;163;NE;NORDESTE;P.PECEM2;50.341
31/12/2023;30/12/2023;05/01/2024;2024;1;0;PMO Janeiro 2024;163;NE;NORDESTE;P.PECEM2;50.341
